eng,English
rus,Russian
ukr,Ukrainian
deu,German
fra,French
ita,Italian
spa,Spanish
ell,Greek
grc,"Greek, Ancient (to 1453)"
lat,Latin
abk,Abkhazian
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adygei
aar,Afar
afh,Afrihili
afr,Afrikaans
afa,Afro-Asiatic (Other)
ain,Ainu
aka,Akan
akk,Akkadian
sqi,Albanian
gsw,Alemani (Swiss German)
ale,Aleut
alg,Algonquian languages
tut,Altaic (Other)
amh,Amharic
anp,Angika
apa,Apache languages
ara,Arabic
arg,Aragonese
arc,Aramaic
arp,Arapaho
arn,Araucanian
arw,Arawak
hye,Armenian
rup,Aromanian (Macedo-Romanian)
art,Artificial (Other)
asm,Assamese
ast,Asturian (Bable)
ath,Athapascan languages
aus,Australian languages
map,Austronesian (Other)
ava,Avaric
ave,Avestan
awa,Awadhi
aym,Aymara
aze,Azerbaijani
ban,Balinese
bat,Baltic (Other)
bal,Baluchi
bam,Bambara
bai,Bamileke languages
bad,Banda
bnt,Bantu (Other)
bas,Basa
bak,Bashkir
eus,Basque
btk,Batak (Indonesia)
bej,Beja
bel,Belarusian
bem,Bemba
ben,Bengali
ber,Berber (Other)
bho,Bhojpuri
bih,Bihari
bik,Bikol
byn,Bilin
bin,Bini
bis,Bislama
bos,Bosnian
bra,Braj
bre,Breton
bug,Buginese
bul,Bulgarian
bua,Buriat
mya,Burmese
cad,Caddo
car,Carib
cat,Catalan (Valencian)
cau,Caucasian (Other)
ceb,Cebuano
cel,Celtic (Other)
cai,Central American Indian (Other)
chg,Chagatai
cmc,Chamic languages
cha,Chamorro
che,Chechen
chr,Cherokee
chy,Cheyenne
chb,Chibcha
zho,Chinese
chn,Chinook jargon
chp,Chipewyan
cho,Choctaw
chk,Chuukese
chv,Chuvash
nwc,Classical Newari (Nepal)
cop,Coptic
cor,Cornish
cos,Corsican
cre,Cree
mus,Creek
cpe,Creoles and pidgins (English-based)
cpf,Creoles and pidgins (French-based)
crp,Creoles and pidgins (Other)
cpp,Creoles and pidgins (Portuguese-based)
crh,Crimean Tatar
hrv,Croatian
cus,Cushitic (Other)
ces,Czech
dak,Dakota
dan,Danish
dar,Dargwa
day,Dayak
del,Delaware
din,Dinka
div,Divehi (Maldivian)
doi,Dogri
dgr,Dogrib
dra,Dravidian (Other)
dua,Duala
nld,Dutch (Flemish)
dum,"Dutch, Middle (ca.1050-1350)"
dyu,Dyula
dzo,Dzongkha
frs,Eastern Frisian
efi,Efik
egy,Egyptian (Ancient)
eka,Ekajuk
elx,Elamite
enm,"English, Middle (1100-1500)"
ang,"English, Old (ca.450-1100)"
myv,Erzya
epo,Esperanto
est,Estonian
ewe,Ewe
ewo,Ewondo
fan,Fang
fat,Fanti
fao,Faroese
fij,Fijian
fil,Filipino
fin,Finnish
fiu,Finno-Ugrian (Other)
fon,Fon
frm,"French, Middle (ca.1400-1600)"
fro,"French, Old (842-ca.1400)"
fur,Friulian
ful,Fulah
gaa,Ga
gle,Gaelic (Irish)
gla,Gaelic (Scottish)
glg,Galician
lug,Ganda
gay,Gayo
gba,Gbaya
gez,Geez
kat,Georgian
gmh,"German, Middle High (ca.1050-1500)"
goh,"German, Old High (ca.750-1050)"
gem,Germanic (Other)
gil,Gilbertese
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
grn,Guarani
guj,Gujarati
gwi,Gwich´in
hai,Haida
hat,Haitian (Creole)
hau,Hausa
haw,Hawaiian
heb,Hebrew
her,Herero
hil,Hiligaynon
him,Himachali
hin,Hindi
hmo,Hiri Motu
hit,Hittite
hmn,Hmong
hun,Hungarian
hup,Hupa
iba,Iban
isl,Icelandic
ido,Ido
ibo,Igbo
ijo,Ijo
ilo,Iloko
smn,Inari Sami
inc,Indic (Other)
ine,Indo-European (Other)
ind,Indonesian
inh,Ingush
ina,Interlingua
ile,Interlingue
iku,Inuktitut
ipk,Inupiaq
ira,Iranian (Other)
mga,"Irish, Middle (900-1200)"
sga,"Irish, Old (to 900)"
iro,Iroquoian languages
jpn,Japanese
jav,Javanese
jrb,Judeo-Arabic
jpr,Judeo-Persian
kbd,Kabardian
kab,Kabyle
kac,Kachin
kal,Kalaallisut (Greenlandic)
xal,Kalmyk (Oirat)
kam,Kamba
kan,Kannada
kau,Kanuri
krc,Karachay-Balkar
kaa,Kara-Kalpak
krl,Karelian
kar,Karen
kas,Kashmiri
csb,Kashubian
kaw,Kawi
kaz,Kazakh
kha,Khasi
khm,Khmer
khi,Khoisan (Other)
kho,Khotanese
kik,Kikuyu
kmb,Kimbundu
kin,Kinyarwanda
kir,Kirghiz
tlh,Klingon
kom,Komi
kon,Kongo
kok,Konkani
kor,Korean
kos,Kosraean
kpe,Kpelle
kro,Kru
kua,Kuanyama
kum,Kumyk
kur,Kurdish
kru,Kurukh
kut,Kutenai
lad,Ladino
lah,Lahnda
lam,Lamba
lao,Lao
lav,Latvian
lez,Lezghian
lim,Limburgan
lin,Lingala
lit,Lithuanian
jbo,Lojban
nds,Low German (Saxon)
dsb,Lower Sorbian
loz,Lozi
lub,Luba-Katanga
lua,Luba-Lulua
lui,Luiseno
smj,Lule Sami
lun,Lunda
luo,Luo (Kenya and Tanzania)
lus,lushai
ltz,Luxembourgish
mkd,Macedonian
mad,Madurese
mag,Magahi
mai,Maithili
mak,Makasar
mlg,Malagasy
msa,Malay
mal,Malayalam
mlt,Maltese
mnc,Manchu
mdr,Mandar
man,Mandingo
mni,Manipuri
mno,Manobo languages
glv,Manx
mri,Maori
mar,Marathi
chm,Mari
mah,Marshallese
mwr,Marwari
mas,Masai
myn,Mayan languages
men,Mende
mic,Micmac
min,Minangkabau
mwl,Mirandese
mis,Miscellaneous languages
moh,Mohawk
mdf,Moksha
mol,Moldavian
lol,Mongo
mon,Mongolian
mkh,Mon-Khmer (Other)
mos,Mossi
mul,Multiple languages
mun,Munda languages
nah,Nahuatl
nau,Nauru
nav,Navajo
nde,Ndebele (North)
nbl,Ndebele (South)
ndo,Ndonga
nap,Neapolitan
new,Nepal Bhasa (Newari)
nep,Nepali
nia,Nias
nic,Niger-Kordofanian (Other)
ssa,Nilo-Saharan (Other)
niu,Niuean
nqo,N'ko
nog,Nogai
non,"Norse, Old"
nai,North American Indian
frr,Northern Frisian
sme,Northern Sami
nso,Northern Sotho (Pedi)
nor,Norwegian
nob,Norwegian Bokmål
nno,Norwegian Nynorsk
nub,Nubian languages
nym,Nyamwezi
nya,Nyanja (Chichewa)
nyn,Nyankole
nyo,Nyoro
nzi,Nzima
oci,Occitan (post 1500)
oji,Ojibwa
chu,Old Slavonic (Church)
ori,Oriya
orm,Oromo
osa,Osage
oss,Ossetian
oto,Otomian languages
pal,Pahlavi
pau,Palauan
pli,Pali
pam,Pampanga
pag,Pangasinan
pan,Panjabi
pap,Papiamento
paa,Papuan (Other)
fas,Persian
peo,"Persian, Old (ca.600-400 B.C.)"
phi,Philippine (Other)
phn,Phoenician
pon,Pohnpeian
pol,Polish
por,Portuguese
pra,Prakrit languages
pro,"Provencal, Old (to 1500)"
pus,Pushto
que,Quechua
roh,Raeto-Romance
raj,Rajasthani
rap,Rapanui
rar,Rarotongan
roa,Romance (Other)
ron,Romanian
rom,Romany
run,Rundi
sal,Salishan languages
sam,Samaritan Aramaic
smi,Sami languages (Other)
smo,Samoan
sad,Sandawe
sag,Sango
san,Sanskrit
sat,Santali
srd,Sardinian
sas,Sasak
sco,Scots
sel,Selkup
sem,Semitic (Other)
srp,Serbian
srr,Serer
shn,Shan
sna,Shona
iii,Sichuan Yi
scn,Sicilian
sid,Sidamo
sgn,Sign Languages
bla,Siksika
snd,Sindhi
sin,Sinhala
sit,Sino-Tibetan (Other)
sio,Siouan languages
sms,Skolt Sami
den,Slave (Athapascan)
sla,Slavic (Other)
slk,Slovak
slv,Slovenian
sog,Sogdian
som,Somali
son,Songhai
snk,Soninke
wen,Sorbian languages
sot,"Sotho, Southern"
sai,South American Indian (Other)
alt,Southern Altai
sma,Southern Sami
srn,Sranan Togo
suk,Sukuma
sux,Sumerian
sun,Sundanese
sus,Susu
swa,Swahili
ssw,Swati
swe,Swedish
syr,Syriac
tgl,Tagalog
tah,Tahitian
tai,Tai (Other)
tgk,Tajik
tmh,Tamashek
tam,Tamil
tat,Tatar
tel,Telugu
ter,Tereno
tet,Tetum
tha,Thai
bod,Tibetan
tig,Tigre
tir,Tigrinya
tem,Timne
tiv,Tiv
tli,Tlingit
tpi,Tok Pisin
tkl,Tokelau
tog,Tonga (Nyasa)
ton,Tonga (Tonga Islands)
tsi,Tsimshian
tso,Tsonga
tsn,Tswana
tum,Tumbuka
tup,Tupi languages
tur,Turkish
ota,"Turkish, Ottoman (1500-1928)"
tuk,Turkmen
tvl,Tuvalu
tyv,Tuvinian
twi,Twi
udm,Udmurt
uga,Ugaritic
uig,Uighur
umb,Umbundu
und,Undetermined
hsb,Upper Sorbian
urd,Urdu
uzb,Uzbek
vai,Vai
ven,Venda
vie,Vietnamese
vol,Volapük
vot,Votic
wak,Wakashan languages
wal,Walamo
wln,Walloon
war,Waray
was,Washo
cym,Welsh
fry,Western Frisian
wol,Wolof
xho,Xhosa
sah,Yakut
yao,Yao
yap,Yapese
yid,Yiddish
yor,Yoruba
ypk,Yupik languages
znd,Zande
zap,Zapotec
zza,Zaza
zen,Zenaga
zha,Zhuang
zul,Zulu
zun,Zuni
